Cation,Anion,Capacity,Cation_SMILES,Anion_SMILES
benzyl-triphenyl-phosphonium,bis(trifluoromethylsulfonyl)methane,0.1421258,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,FC(F)(F)[S](=O)(=O)C[S](=O)(=O)C(F)(F)F
benzyl-triphenyl-phosphonium,bis-pentafluoroethyl-phosphinate,1.08152,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-][P](=O)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
benzyl-triphenyl-phosphonium,bromide,4.38157,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[Br-]
benzyl-triphenyl-phosphonium,butanedioate,6.155507,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C(=O)CCC([O-])=O
benzyl-triphenyl-phosphonium,butanoate,260.7487,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCC([O-])=O
benzyl-triphenyl-phosphonium,butylsulfate,1.540161,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCCO[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,chloride,15.58653,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[Cl-]
benzyl-triphenyl-phosphonium,chlorate,0.2037436,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-][Cl](=O)=O
benzyl-triphenyl-phosphonium,decanoate,238.3898,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCCCCCCCC([O-])=O
benzyl-triphenyl-phosphonium,dibutylphosphate,25.51833,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCCO[P]([O-])(=O)OCCCC
benzyl-triphenyl-phosphonium,dicyanamide,2.508255,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N#C[N-]C#N
benzyl-triphenyl-phosphonium,diethylphosphate,28.76638,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCO[P]([O-])(=O)OCC
benzyl-triphenyl-phosphonium,dihydrogen-phosphate,14.41886,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,O[P](O)([O-])=O
benzyl-triphenyl-phosphonium,dimethylphosphate,25.22908,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CO[P]([O-])(=O)OC
benzyl-triphenyl-phosphonium,dodecylsulfate,1.243795,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCCCCCCCCCCO[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,ethoxyethylsulfate,1.44015,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCOC(C)O[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,ethylsulfate,1.657495,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCO[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,fluoride,3905.992,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[F-]
benzyl-triphenyl-phosphonium,formate,80.0913,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C=O
benzyl-triphenyl-phosphonium,glutamate,29.73715,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N[C@@H](CCC([O-])=O)C([O-])=O
benzyl-triphenyl-phosphonium,glutaminate,47.92116,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N[C@@H](CCC(N)=O)C([O-])=O
benzyl-triphenyl-phosphonium,glycinate,185.1076,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,NCC([O-])=O
benzyl-triphenyl-phosphonium,heptafluorobutanoate,4.334591,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)F
benzyl-triphenyl-phosphonium,histidinate,65.31536,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N[C@@H](Cc1c[nH]cn1)C([O-])=O
benzyl-triphenyl-phosphonium,hydrogencarbonate,26.25371,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OC([O-])=O
benzyl-triphenyl-phosphonium,hydrogensulfate,1.956128,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,O[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,iodide,1.113833,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[I-]
benzyl-triphenyl-phosphonium,triiodide,0.03510005,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,I[I-]I
benzyl-triphenyl-phosphonium,isoleucinate,157.1227,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CC[C@H](C)[C@H](N)C([O-])=O
benzyl-triphenyl-phosphonium,lactate,33.49034,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CC(O)C([O-])=O
benzyl-triphenyl-phosphonium,leucinate,158.2802,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CC(C)C[C@H](N)C([O-])=O
benzyl-triphenyl-phosphonium,lysinate,175.6489,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,NCCCC[C@H](N)C([O-])=O
benzyl-triphenyl-phosphonium,methanesulfonate,7.845555,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,C[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,methioninate,128.0585,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CSCC[C@H](N)C([O-])=O
benzyl-triphenyl-phosphonium,methoxyethylsulfate,1.488497,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,COC(C)O[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,methylcarbonate,40.40717,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,COC([O-])=O
benzyl-triphenyl-phosphonium,methylsulfate,1.552485,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CO[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,nitrate,3.320539,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-][N+]([O-])=O
benzyl-triphenyl-phosphonium,octylsulfate,1.388324,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCCCCCCO[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,pentafluoroethyltrifluoroborate,0.1196311,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,F[B-](F)(F)C(F)(F)C(F)(F)F
benzyl-triphenyl-phosphonium,perfluorobutanesulfonate,0.4328375,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCC[S](=O)(=O)OF
benzyl-triphenyl-phosphonium,perfluorooctanesulfonate,0.3653817,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCCCCCCC[S](=O)(=O)OF
benzyl-triphenyl-phosphonium,hexafluorophosphate,0.07397613,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,F[P-](F)(F)(F)(F)F
benzyl-triphenyl-phosphonium,phosphonate,34.38214,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-][PH]([O-])=O
benzyl-triphenyl-phosphonium,prolinate,134.6673,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C(=O)[C@@H]1CCCN1
benzyl-triphenyl-phosphonium,propanedioate,4.771149,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C(=O)CC([O-])=O
benzyl-triphenyl-phosphonium,propanoate,274.6554,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CCC([O-])=O
benzyl-triphenyl-phosphonium,"1,1-dioxo-1,2-benzothiazol-3-olate",2.587021,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C1=N[S](=O)(=O)c2ccccc12
benzyl-triphenyl-phosphonium,salicylate,11.08605,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,Oc1ccccc1C([O-])=O
benzyl-triphenyl-phosphonium,hexafluoroantimonate,0.05376069,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,F[Sb-](F)(F)(F)(F)F
benzyl-triphenyl-phosphonium,serinate,40.48523,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N[C@@H](CO)C([O-])=O
benzyl-triphenyl-phosphonium,sulfate,375.4676,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-][S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,sulfamate,4.803079,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,tetrachlorogallate,0.03558458,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C(=O)c1cc(OCl)c(OCl)c(OCl)c1Cl
benzyl-triphenyl-phosphonium,tetrachloroindium,0.03565047,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[Cl]|[In-](|[Cl])(|[Cl])|[Cl]
benzyl-triphenyl-phosphonium,tetracyanoborate,0.1950766,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N#C[B-](C#N)(C#N)C#N
benzyl-triphenyl-phosphonium,thiocyanate,2.069521,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[S-]C#N
benzyl-triphenyl-phosphonium,2-amino-3-hydroxybutanoate,52.96213,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CC(O)C(N)C([O-])=O
benzyl-triphenyl-phosphonium,toluene-4-sulfonate,4.10398,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,Cc1ccc(cc1)[S]([O-])(=O)=O
benzyl-triphenyl-phosphonium,tricyanomethane,0.5437135,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,N#CC(C#N)C#N
benzyl-triphenyl-phosphonium,"2,2,2-trifluoroethanoate",6.144007,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-]C(=O)C(F)(F)F
benzyl-triphenyl-phosphonium,trifluoromethane-sulfonate,0.606984,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,[O-][S](=O)(=O)C(F)(F)F
benzyl-triphenyl-phosphonium,trifluoromethyltrifluoroborate,0.1281835,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,F[B-](F)(F)C(F)(F)F
benzyl-triphenyl-phosphonium,2-amino-3-methylbutanoate,152.8485,C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,CC(C)C(N)C([O-])=O
butyl-trihexyl-phosphonium,"(2r,3r)-2,3-dihydroxybutanedioate",1.970322,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,O[C@H]([C@@H](O)C([O-])=O)C([O-])=O
butyl-trihexyl-phosphonium,1-butanesulfonate,7.972174,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCC[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,1-hexanesulfonate,7.765316,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCCCC[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,2-(2-methoxyethoxy)ethylsulfate,1.457026,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,COCCOCCO[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,"2-hydroxy-1,2,3-propanetricarboxylate",1.096493,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
